id,content,disaster_types,themes,locations,format
3760543,"**Natural disasters in July 2021 (as of July 29, 2021)**  In July 2021, in the East Sea, there was 01 storm and 01 tropical depression. There were 15 mild earthquakes in the whole country; 77 hail, thunderstorm, lightning; 23 heavy rains, local floods and 27 riverbank landslides  - People: 08 people died, 10 people injured.  - Housing: 87 houses collapsed, 1,039 houses damaged, unroofed, urgent relocated.  - Agriculture: 1,032 ha of rice/crops, 496 ha of crops, 156 cattle and poultry died or swept away.  **Estimated value of damage is about 66 billion VND**.  **Natural disasters from the beginning of the year to July 29, 2021**    From the beginning of 2021 up to now, there have been 03 storms and 02 tropical depressions in the East Sea, of which the storm No. 2 (June 11-13) landed in the regional provinces from Thai Binh to North Nghe An, 79 mild earthquakes, 224 hail, thunderstorm, lightning; 05 periods of cold waves, northeast monsoon, in which the strongest cold and damaging cold wave is from January 7-13; 41 heavy rains, local floods, of which 06 flash floods, 125 river bank landslides and 06 heat waves.  As of 08:00 on July 29, 2021, natural disasters from the beginning of the year have caused the following damage:  - People: 33 people died, 43 people injured;  - Housing: 170 houses completely collapsed, 5,785 houses damaged, unroofed;  - Livestock production: 4,674 livestock and poultry died (2,373 cattle, 2,301 poultry);  - Cultivation: 68,998 ha of rice, vegetables and 6,349 ha of crops damaged.  - Dykes and irrigation: 5.4 km of dikes, embankments, canals damaged and eroded.  - Traffic: 8km of roads collapsed; 73,807 m3 of soil, rock, concrete.  **Estimated value of damage is about 202 billion VND.**  Department of Science, Technology and International Cooperation","['Cold Wave', 'Earthquake', 'Flash Flood', 'Flood', 'Heat Wave', 'Land Slide', 'Tropical Cyclone']",['Agriculture'],['Viet Nam'],News and Press Release
1183196,"**Map Production**    The present map shows basic topographic features such as transportation and settlements in the area of Cabanas Los Molles (CHILE). These basic topographic features are derived from public datasets, refined by means of visual interpretation of pre-event WorldView-2 image.     All satellite images have been radiometrically enhanced and orthocorrected with RPC approach (using SRTM elevation data).     The estimated geometric accuracy of this product is 5 m CE90 or better, from native positional accuracy of the background satellite image.     The estimated thematic accuracy of this product is 85 % or better, as it is based on visual interpretation of recognizable items on very high resolution optical imagery. Shadowed areas are zones of lower interpretation accuracy due to the poorer image radiometry. Only the area enclosed by the Area of Interest has been analyzed.",['Earthquake'],,['Chile'],Map
3898496,"The United States, through the U.S. Agency for International Development (USAID), is providing $1 million in immediate humanitarian assistance to support the people affected by unprecedented flooding in Nigeria. The unusually heavy rainfall and resulting flooding has affected nearly 2.8 million people across the country. In addition, tens of thousands of homes have been damaged or completely destroyed, forcing the displacement of two million people. More than 600 people have died.  The floods have exacerbated an already critical humanitarian situation in Nigeria, where ongoing conflict, especially in the northern region, has already driven  millions of people from their homes. In the same region, more than four million people are projected to continue experiencing acute food insecurity amid the worsening global food crisis. To make matters worse, we are concerned that standing floodwaters could also increase the risk of cholera and other waterborne diseases in Adamawa, Borno, and Yobe states, where cholera outbreaks were declared in August and September and at least 7,750 cases were recorded. In 2022, 31 out of 35 states reported cholera cases.  Today's $1 million in new USAID support will allow local partners on the ground to provide emergency shelter repair kits and hygiene kits to promote safe and healthy practices amid the ongoing cholera outbreak, and multipurpose cash assistance for people impacted by the devastating floods.   As experts expect heavy rainfall to continue through November, USAID disaster experts will continue monitoring the situation in close coordination with humanitarian partners, the Government of Nigeria, and the U.S. Embassy in Abuja to assess needs and determine additional assistance needed.   The United States will continue standing with the people of Nigeria during this extremely difficult time and maintains a long history of providing humanitarian assistance across the country. In fiscal year 2022 alone, USAID provided more than $356 million in lifesaving, multi-sector assistance to people most affected by conflict and food insecurity.","['Epidemic', 'Flash Flood', 'Flood']","['Contributions', 'Health', 'Shelter and Non-Food Items', 'Water Sanitation Hygiene']","['Nigeria', 'United States of America']",News and Press Release
1251516,"Seventieth Session,   29th Meeting (AM)   GENERAL ASSEMBLY   MEETINGS COVERAGE    The Second Committee (Economic and Financial) met this morning to introduce 17 draft resolutions, including one on 'World Tsunami Day', which aimed to raise public awareness, promptly disseminate information through early warning systems and implement the concept of 'build back better'.  The representative of Japan introduced that draft resolution (document A/C.2/70/L.11), explaining that the choice of 5 November as the date for 'World Tsunami Day' was linked to several important lessons.  Among those, he noted that, on that day in 1854, a man in a village in Japan recognized the signs of an approaching tsunami after a large earthquake.  He saved the lives of his fellow villagers and they built back better than before.  Although tsunamis were a relatively rare phenomenon, they caused tremendous damage in terms of loss of human life and destruction of poverty.  Even individuals from countries which had never experienced tsunamis were not immune from the risk.  The representative of Chile said his country was affected by tsunamis and welcomed the resolution, which aimed to raise awareness and strengthen response mechanisms.  In order to forge resilient societies, it was important to include all sectors of societies in the build back better initiative.  The representative of Samoa introduced the draft resolution on 'International Year of Sustainable Tourism for Development, 2017' (document A/C.2/70/L.5) under the agenda item on Sustainable Development, saying that, over the past several years, tourism had experienced significant growth.  That sector was responsible for 9 per cent of global gross domestic product (GDP), accounted for 30 per cent of the world's trade in services, created 277 million jobs and employed one out of every 11 people worldwide.  The important contribution of sustainable tourism to sustainable development was evident in the 2030 Agenda, she said.  The representative of South Africa, speaking on behalf of the 'Group of 77' developing countries and China, introduced a draft resolution on 'Combating sand and dust storms' (document A/C.2/70/L.22).  Noting that the Group was introducing the latter text for the first time to recognize the severe damages caused by such storms to the inhabitants of affected areas, especially in Africa and Asia, he said that cooperation at the regional and international levels would be vital for preventing and managing their adverse effects.  That was one of several texts he introduced on sustainable development, the most comprehensive item on the Committee's agenda.  Other texts included  'Oil slick on the Lebanese shores' (document A/C.2/70/L.14), 'Follow-up to and implementation of the SIDS [small island developing States] Accelerated Modalities of Action (SAMOA) Pathway and the Mauritius Strategy for the Further Implementation of the Programme of Action for the Sustainable Development of Small Island Developing States' (A/C.2/70/L.17) and 'International Strategy for Disaster Reduction' (A/C.2/70/L.15).  Further texts under that agenda item concerned 'Protection of global climate for present and future generations of humankind' (document A/C.2/70/L.18) and 'United Nations Decade of Education for Sustainable Development' (document A/C.2/70/L.20).  The delegate also introduced a draft resolution on 'Information and communications technologies for development' (document A/C.2/70/L.23) and two texts on macroeconomic policy questions, including 'Unilateral economic measures as a means of political and economic coercion against developing countries' (document A/C.2/70/L.2) and 'International financial system and development' (document A/C.2/70/L.7).  On the agenda item on globalization and interdependence, he introduced a text on 'Culture and sustainable development' (document A/C.2/70/L.6) and another on 'Follow-up to the Fourth United Nations Conference on the Least Developed Countries' (document A/C.2/70/L.19), which pertained to the agenda item on groups of countries in special situations.  Several texts were introduced on the eradication of poverty, including 'Implementation of the Second United Nations Decade for the Eradication of Poverty (2008-2017)' (document A/C.2/70/L.9), 'Women in development' (document A/C.2/70/L.8) and 'Human resources development' (document A/C.2/70/L.16).  The final text introduced by the Group of 77 today was on 'Permanent sovereignty of the Palestinian people in the Occupied Palestinian Territory, including East Jerusalem, and of the Arab population in the occupied Syrian Golan over their natural resources' (document A/C.2/70/L.21).",['Tsunami'],['Disaster Management'],['World'],News and Press Release
3744348,"**SITUATION AT A GLANCE**  **30.7 MILLION** Estimated Total Population of El Salvador, Guatemala, and Honduras   *UN ' March 2021*   **10 MILLION** Estimated Number of People in Need of Humanitarian Assistance   *UN ' April 2021*   **7 MILLION** Estimated Number of People Impacted by Hurricanes Eta and Iota in Guatemala and Honduras   *UN ' December 2020*  **5.5 MILLION** Estimated Number of People in Urgent Need of Food Assistance   *FEWS NET ' March 2021*   **1 MILLION** Estimated Number of Asylum Seekers, IDPs, and Refugees Displaced in the Region   *UNHCR ' May 2021*   - Food insecurity is expected to increase among households in areas of western El Salvador, Guatemala, and parts of northern and southern Honduras, according to the Famine Early Warning System Network (FEWS NET).  - USAID/BHA partners provided emergency food assistance, livelihoods support, protection, and other humanitarian assistance in El Salvador, Guatemala, and Honduras in May.  - With State/PRM support UN partners are providing asylum seekers and migrants with livelihoods and protection services throughout the region.","['Drought', 'Epidemic', 'Flood', 'Land Slide', 'Tropical Cyclone']","['Agriculture', 'Contributions', 'Food and Nutrition', 'Health', 'Protection and Human Rights', 'Recovery and Reconstruction', 'Shelter and Non-Food Items']","['El Salvador', 'Guatemala', 'Honduras', 'United States of America']",Situation Report
3899120,"**Children are the most impacted by the catastrophic floods that have prompted the suspension of essential services like education and healthcare throughout most of Bayelsa State.**  *Nchekwube Nwosu-Igbo, Communication Assistant, UNICEF Nigeria*  Sagbama, Bayelsa State— Devastating floods are wreaking havoc in several communities in Bayelsa State, Southern Nigeria, and women and children are most at risk as emergency response has been slow. The floods have caused severe destruction of homes, roads, schools, healthcare institutions, and other essential infrastructure, leading to a humanitarian disaster.  Germany Akpoebi, a 45-year-old father of four, and his family reside in Indiamazi, Mile 2, Sagbama LGA of Bayelsa State. Where he calls home has almost been run over by the devastating flood waters. Germany's case is not an isolated one. In fact, many residents in the area have completely deserted their homes because of the floods, and this has negatively impacted their sources of livelihood and education.  With several schools, businesses, and health centers shut down already, this year's flooding has been extremely devastating for Germany and his family. The flooding is attributed to several factors, including heavy rainfall and climate change. Man-made factors, like the lack of proper drainage, have contributed in no small way to making the floods more devastating. In addition to worrying about potential diseases brought on by the floods, Germany is also concerned about his children, who have temporarily stopped attending school. Currently, school students in Bayelsa state are on ""flooding break"". Earlier in the month, the Bayelsa State Government directed public primary, secondary and private schools in the state to suspend all academic activities till further notice.  Three of Germany's four children—11-year-old Peretimifa in JSS 2, 9-year-old Joy in Primary 4, and 5-year-old Samuel in Primary 1—are quite upset at the turn of events. Their education has been impacted by the floods, as they are currently at home because of the flooding. Speaking for himself and his younger siblings, Peretimifa revealed that they miss school, their teachers, and their friends.  Germany is also worried that some of his sources of livelihood, like the small fishpond he runs at the back of his house has been completely submerged by floodwaters, leading to the loss of fish and potential income. Germany, who expressed bitterness at the devastating effects of this flood on his family and community as a whole, revealed that he was completely taken by surprise at the turn of events because the area he resides in is considered high ground and the center of the community, and should normally have been less impacted. He expressed concern about what the flood had done to families living in low-lying areas.  Germany is making an appeal to the government to fix the man-made issues that might help mitigate the flooding in the areas. He disclosed that he is preparing to evacuate his family should the flooding increase and overrun their home.  UNICEF has supported the government response in three affected states ' Jigawa, Niger, and Kaduna, including through the provision of cash assistance, distribution of cholera kits, government-led mobile health teams, temporary learning centres, learning kits and cholera kits. With additional support, UNICEF can scale up its response in other states to provide lifesaving medical equipment and essential medicines, chlorination of water and sanitation supplies, as well as support the prevention of and response to sexual and gender-based violence.","['Epidemic', 'Flash Flood', 'Flood']","['Education', 'Health', 'Protection and Human Rights', 'Water Sanitation Hygiene']",['Nigeria'],News and Press Release
35129,"<p><br> UNDRO 86/1674<br><b>CHINA - TYPHOON PEGGY<br> UNDRO INFORMATION REPORT NO. 1</b><b><br> 15 JULY 1986</b></p> <p>1. UNDRO/UNDP REPRESENTATIVE BEIJING REPORTS TWO DISASTERS HIT CHINA ALMOST SIMULTANEOUSLY OVER WEEKEND. TYPHOON PEGGY STRUCK SOUTH CHINA COAST AND STRONG TORNADO HIT EAST COAST.</p> <p>2. TYPHOON PEGGY AND TORRENTIAL RAIN BATTERED EASTERN GUANGDONG PROVINCE FRIDAY LEAVING 21 DEAD, 297 INJURED AND OVER 100,000 PEOPLE STRANDED. ENORMOUS DAMAGE TO PROPERTY, INFRASTRUCTURE AND AGRICULTURE DUE TO FLOODS, LANDSLIDES. TOTAL LOSS ESTIMATED US DLRS 166 MILLION. TYPHOON THEN MOVED TO GUANGXI ZHUANG REGION.</p> <p>3. IN SHANGHAI, POWERFUL TORNADO, WORST IN 30 YEARS, LASHED SOUTHEASTERN SUBURBS. 31 DEAD, OVER 500 INJURED AND 1300 HOUSES DESTROYED.</p> <p>4. TROOPS HAVE BEEN CALLED IN TO HELP WITH RESCUE WORK. ABOUT 20,000 PEOPLE EVACUATED FROM AFFECTED AREAS. EFFORTS CONTINUE TO RESCUE SOME 10,000 PEOPLE STILL STRANDED.</p> <p>5. TO DATE GOVERNMENT HAS NOT REQUESTED INTERNATIONAL ASSISTANCE.</p> <p>ESSAAFI UNDRO GENEVA 28148</p> <hr> <p>UNDRO 86/1690</p> <p><b>CHINA - TYPHOON PEGGY<br> UNDRO INFORMATION REPORT NO. 2</b><b><br> 16 JULY 1986</b></p> <p class=""c2"">SITUATION</p> <p>1. UNDRO/UNDP REPRESENTATIVE REPORTS FOLLOWING UPDATE:</p> <p>- 172 DEAD, 800 INJURED</p> <p>- OVER 510,000 PEOPLE STRANDED BY FLOODS</p> <p>- 55 CITIES SEVERELY HIT BY RAINFALL AVERAGING 200 MM AND IN SOME PLACES 500-800 MM. 533,000 HECTARES FARMLAND FLOODED.</p> <p>- 257,000 HOUSES, 1,600 BRIDGES AND 1,600 KM ROAD DESTROYED OR SERIOUSLY DAMAGED.</p> <p>- SEVERAL SECTIONS MEIJIANG RIVER BANK BROKE 15/7, INUNDATING MEICHEN, COUNTY SEAT, LEAVING OVER 100,000 PEOPLE STRANDED ON ROOFTOPS.</p> <p class=""c2"">NATIONAL RESPONSE</p> <p>2. LOCAL GOVT MOBILIZED POPULATION FOR RESCUE WORK. SOME SOURCES REPORT 2.5 MILLION PEOPLE INVOLVED.</p> <p>3. SO FAR GOVT HAS NOT APPEALED FOR INTERNATIONAL ASSISTANCE.</p> <p>ESSAAFI UNDRO GENEVA 28148</p> <hr> <p>UNDRO 86/1752</p> <p><b>CHINA - TYPHOONS<br> UNDRO INFORMATION REPORT NO. 3</b><b><br> 25 JULY 1986</b></p> <p>1. UNDRO/UNDP REPRESENTATIVE BEIJING REPORTS THAT A NEW TYPHOON AND TORRENTIAL RAINS STRUCK COAST GUANGXI ZHUANG REGION EARLY THIS WEEK, LEAVING 22 DEAD, 700 INJURED, 100 MISSING. NUMEROUS DIKES BROKEN, HUNDREDS VILLAGES AND OVER 13,300 HECTARES FARMLAND FLOODED, 200 FISHING BOATS SUNK. ESTIMATED DAMAGE APPROX US DLRS 54.1 MILLION.</p> <p>2. NO GOVT REQUEST FOR INTERNATIONAL APPEAL HAS BEEN RECEIVED.</p> <p>ESSAAFI UNDRO GENEVA 28148</p> <hr> <p>UNDRO 86/1837</p> <p><b>CHINA - TYPHOONS/FLOODS<br> UNDRO INFORMATION REPORT NO. 4</b><b><br> 6 AUGUST 1986</b></p> <p class=""c2"">SITUATION</p> <p>1. UNDRO/UNDP REPRESENTATIVE BEIJING REPORTS HEAVY FLOODS CAUSED BY TORRENTIAL RAINS IN TWO NORTHEAST PROVINCES OF CHINA.</p> <p>2. LIAONING PROVINCE: FLOODS HAVE KILLED 30 PEOPLE, COVERED 1530 VILLAGES AND DESTROYED 80,000 HECTARES OF CROPS. MORE THAN 250,000 HECTARES FARMLAND AND THOUSANDS OF HOUSES UNDER WATER AS RAINS HAVE WASHED AWAY OVER 350 RIVER DIKES AND DESTROYED 86 BRIDGES. CROP LOSSES ESTIMATED AT OVER 800,000 TONS. MORE RAINS EXPECTED THIS MONTH.</p> <p>3. JILIN PROVINCE: APPROX. 2 MILLION PEOPLE AND ONE MILLION HECTARES FARMLAND REPORTED HEAVILY AFFECTED BY FLOODS.</p> <p class=""c2"">NATIONAL RESPONSE</p> <p>4. LIAONING AUTHORITIES HAVE REQUESTED OFFICIALS AT ALL LEVELS TO MOBILIZE EVERY MEANS OF RELIEF ASSISTANCE TO KEEP EMERGENCY UNDER CONTROL.</p> <p>5. IN JILIN PROVINCE OVER ONE MILLION PEOPLE INCLUDING 6,000 ARMYMEN HAVE BEEN MOBILIZED TO ASSIST IN ALLEVIATING SITUATION.</p> <p>ESSAAFI UNDRO GENEVA 28148</p> <hr> <p>UNDRO 86/2128</p> <p><b>CHINA - TYPHOON VERA<br> UNDRO INFORMATION REPORT NO. 5</b><b><br> 29 AUGUST 1986</b></p> <p class=""c2"">SITUATION</p> <p>1. UNDRO RESREP REPORTS HEAVY CASUALITIES AND PROPERTY LOSS CAUSED BY TYPHOON VERA IN SHANGHAI ON WEDNESDAY 27 AUGUST 1986:</p> <p>EIGHT DEAD AND 25 INJURED, 500 HOUSES DESTROYED, 8 INDUSTRIAL CHIMNEYS BLOWN DOWN, CROP LAND FLOODED, INTERRUPTION ELECTRICITY, (1400 LINES CUT).</p> <p>2. SCOPE OF DAMAGE REDUCED BY PREPAREDNESS MEASURES.</p> <p>3. GOVT WILL MAINLY RELY ON OWN RESOURCES BUT INTERNATIONAL ASSISTANCE WELCOME ALTHOUGH NOT OFFICIALY REQUESTED.</p> <p>4. UNDRO READY TO COORDINATE ASSISTANCE BETWEEN POSSIBLE DONORS AND CHINESE AUTHORITIES.</p> <p>ESSAAFI UNDRO GENEVA 28148</p> <p>(DPR 310 CHA'86(1))</p> <hr> <p>UNDRO 86/2219</p> <p><b>CHINA - FLOODS NORTH-EAST CHINA<br> UNDRO INFORMATION REPORT NO. 6</b><b><br> 8 SEPTEMBER 1986</b></p> <p class=""c2"">SITUATION</p> <p>1. UNDRO/UNDP REPRESENTATIVE REPORTS SERIOUS FLOODS HAVE CAUSED TREMENDOUS DIFFICULTIES TO ALREADY DISASTER-STRICKEN AREAS OF JILIN PROVINCE. IMPORTANT GRAIN STOCKS LOST, AND HARVESTS OF 2,310,000 SMALL FARMERS DESTROYED, OVER 400,000 HOUSES COLLAPSED.</p> <p>2. UNDRO REPRESENTATIVE INDICATES FOLLOWING REQUIREMENTS TO COVER THESE LOSSES:</p> <p>- 460,000 TONS FOOD GRAINS,</p> <p>- 300,000 M3 TIMBER, 100,000 TONS CEMENT, 40,000 TONS STEEL AND 650,000 M3 SHEET GLASS, FOR RECONSTRUCTION OF HOMES,</p> <p>- 117,000 TONS CEMENT, 29,000 TONS STEEL AND 10,000 TONS TAR FOR WATER STORAGE, TRANSPORTATION AND COMMUNICATION PROJECTS,</p> <p>- IN ADDITION RESOURCES REQUIRED FOR EVACUATION AND RE-SETTLEMENT OF 800,000 DISASTER-STRICKEN PEOPLE,</p> <p>TOTAL MONETARY VALUE OF THESE REQUIREMENTS ESTIMATED AT OVER US DLRS 250,000,000.</p> <p>3. WHILE GOVT IS NOT REQUESTING INTERNATIONAL ASSSISTANCE, UNDRO INFORMED THAT SPONTANEOUS OFFERS FROM DONOR COMMUNITY MIGHT BE CONSIDERED.</p> <p>4. INTERESTED DONORS ARE REQUESTED TO INFORM UNDRO OF THEIR INTENTION.</p> <p>ESSAAFI UNDRO GENEVA 28148</p>",['Extratropical Cyclone'],,['China'],Situation Report
3900887,"[Pakistan - Floods Factsheet #1, Fiscal Year (FY) 2023]( )","['Flash Flood', 'Flood']",,"['Pakistan', 'United States of America']",Map
2196154,"A Flood-Warning means that some flooding is already occurring or is likely to occur. The combination of the Inter Tropical Convergence Zone and a mid-level trough system has been generating cloudy to overcast skies, pockets of moderate to heavy showers, periods of rain and isolated thunderstorms across St. Vincent and the Grenadines during the morning.  Flash-flooding is already occurring in some areas. In this cause, on the Grenadine Island of Bequia. As a consequence, a Flood'Warning has been issued and will remain in effect until 6:00 pm this evening.    Residents and motorists in flood prone areas, areas prone to land slippage, near rivers and streams should exercise caution and remain alert. This Warning will be up-dated if conditions warrant. The Barbados Meteorological Services and the St Vincent and the Grenadines Services will continue to monitor this system and provide the necessary updates.     *SOURCE: NEMO*","['Extratropical Cyclone', 'Flash Flood', 'Flood', 'Tropical Cyclone']",,['Saint Vincent and the Grenadines'],News and Press Release
2746944,"**Highlights**  - During the first half of 2018, the humanitarian situation in the Democratic People's Republic of Korea remained critical. According to the inter-agency 2018 DPRK Needs and Priorities document, up to 10.3 million people (41 per cent of total population) continue to suffer from food insecurity and undernutrition, as well as a lack of access to basic services.  - In June 2018, UNICEF in collaboration with the Government launched the 2017 Multiple Indicator Cluster Survey (MICS) Report, which revealed disparities between provinces and urban and rural areas. For example, stunting in rural Ryanggang is at 32 per cent, 22 percentage points above Pyongyang at 10 per cent. In rural areas, only one household in three uses water piped directly into the dwelling as a main source of drinking water. Although MICS results showed high coverage of health services, access to quality services is still limited which is essential for improved health outcomes.  - As of 30 June 2018, UNICEF and partners have reached 162,210 children under 1 year with routine immunization, and 163,236 pregnant women with immunization services. In addition, 1.38 million people received essential medicines and 96,556 children with diarrhoea received oral rehydration salts.  - On nutrition, nationwide about 1.3 million (90 per cent) children aged 6-59 months were screened during child health days and where needed, referred to treatment for severe acute malnutrition (SAM), moderate acute malnutrition (MAM), and follow up. 10,800 under five children with SAM were treated through the inpatient and outpatient programmes. Nearly 1.35 million under five children received vitamin A supplementation, and 450,000 children under two received multiple micronutrient powder.  - Despite the generous contribution of a few donors, a US$ 14.2 million (86 per cent) funding gap remains, resulting in difficulties to provide life-saving services for children in DPRK.  **SITUATION IN NUMBERS**  **2,832,500**   \# of children in need of humanitarian assistance   (Based on 2018 DPRK Needs & Priorities, March 2018)   **10,300,000**   \# of people in need (2018 DPRK Needs & Priorities, March 2018)  **UNICEF Appeal 2018**   US$ 16.5 million  **Situation Overview & Humanitarian Needs**  The Democratic People's Republic of Korea (DPRK) continues to be in the midst of a protracted humanitarian situation. An estimated 10.3 million people across DPRK continue to suffer from food insecurity and undernutrition, as well as a lack of access to basic services. Recurrent natural hazards particularly extended droughts punctuated by recurrent flooding created challenge to the considerable proportion of the population to enjoy their basic right in health and wellbeing particularly young children, pregnant and breastfeeding women and other vulnerable groups, including people with disabilities and those with non-communicable diseases. As a result, people have crucial and unmet food, nutrition, health, water, sanitation and hygiene needs.  The 2017 MICS Report launched in June 2018 revealed disparities between provinces and urban/rural areas. One out of five children under 5 are stunted and face an impaired physical and cognitive growth. Geographic disparities exist, with stunting in rural Ryanggang (32 per cent), i.e. 22 percentage points above Pyongyang (10 per cent). In rural areas, only one household in three uses water piped directly into the dwelling as a main source of drinking water. In urban areas 71 per cent of the population have access to safely managed drinking water compared to only 44 per cent in rural areas.   Although- MICS results showed high coverage of health services; access to quality basic services is still limited which is essential for improved health outcome for children and women.  The international community has outlined the 2018 Needs and Priorities, which functions as an interagency appeal of the Humanitarian Country Team (HCT)1, which strictly prioritizes around life-saving support to the most vulnerable and in need of humanitarian assistance. Humanitarian agencies continue to focus on delivering a full package of support to the targeted beneficiaries to ensure they receive an integrated multi-sectoral support. The plan requires US$111m to respond to the most urgent food, health, nutrition, water, sanitation and hygiene needs of approximately 6 million people, including 1.7 million under-five children and 342,000 pregnant and breastfeeding women.  As a result, in 2018 UNICEF estimated the need to treat about 60,000 SAM and 120,000 MAM children and to reach an estimated 60,000 people with clean water countrywide. UNICEF also plans to provide traditional vaccines for 355,000 children under one year of age, and 362,000 pregnant women; whilst also supporting the provision of Oral Rehydration Salts (ORS) for treatment of diarrhea, and essential medicines for the treatment of pneumonia and other childhood illnesses in 94 focus counties.",['Heat Wave'],"['Contributions', 'Coordination', 'Food and Nutrition', 'Health', 'Water Sanitation Hygiene']","[""Democratic People's Republic of Korea""]",Situation Report
